State,Survey_ID,state_key
Alabama,LASST010000000000003,AL
Alaska,LASST020000000000003,AK
Arizona,LASST040000000000003,AZ
Arkansas,LASST050000000000003,AR
California,LASST060000000000003,CA
Colorado,LASST080000000000003,CO
Connecticut,LASST090000000000003,CT
Delaware,LASST100000000000003,DE
Florida,LASST120000000000003,FL
Georgia,LASST100000000000003,GA
Hawaii,LASST150000000000003,HI
Idaho,LASST160000000000003,ID
Illinois,LASST170000000000003,IL
Indiana,LASST180000000000003,IN
Iowa,LASST190000000000003,IA
Kansas,LASST200000000000003,KS
Kentucky,LASST210000000000003,KY
Louisiana,LASST220000000000003,LA
Maine,LASST230000000000003,ME
Maryland,LASST240000000000003,MD
Massachusetts,LASST250000000000003,MA
Michigan,LASST260000000000003,MI
Minnesota,LASST270000000000003,MN
Mississippi,LASST280000000000003,MS
Missouri,LASST290000000000003,MO
Montana,LASST300000000000003,MT
Nebraska,LASST310000000000003,NE
Nevada,LASST320000000000003,NV
New Hampshire,LASST330000000000003,NH
New Jersey,LASST340000000000003,NJ
New Mexico,LASST350000000000003,NM
New York,LASST360000000000003,NY
North Carolina,LASST370000000000003,NC
North Dakota,LASST380000000000003,ND
Oklahoma,LASST400000000000003,OH
Oregon,LASST410000000000003,OE
Pennslyvania,LAUST420000000000003,PA
Rhode Island,LASST440000000000003,RI
South Carolina,LASST450000000000003,SC
South Dakota,LASST460000000000003,SD
Tennessee,LASST470000000000003,TN
Texas,LASST480000000000003,TX
Utah,LASST490000000000003,UT
Vermont ,LASST500000000000003,VT
Virginia,LASST510000000000003,VA
West Virginia,LASST540000000000003,WV
Wisconsin,LASST550000000000003,WI
Wyoming,LASST560000000000003,WY
